transaction_id,account_id,transaction_date,transaction_type,amount,description,counterparty,location,method
TXN_B24455F3,CUST_0002_ACC_1,2025-02-18,Online_Transfer,1615.06,Credit card payment,,Branch_Westside_Plaza,ATM
TXN_0A18BAD4,CUST_0002_ACC_1,2025-02-22,Check_Deposit,2564.42,Gas station,,,Electronic
TXN_F3A18FF3,CUST_0002_ACC_1,2025-07-31,ACH_Credit,3192.71,Utility bill,,,Online
TXN_0003D37D,CUST_0002_ACC_1,2025-03-04,Check_Deposit,4664.01,Mortgage payment,,Branch_Downtown_Main,Branch
TXN_4FEA8992,CUST_0002_ACC_1,2025-03-26,ACH_Credit,1426.1,Salary deposit,,Branch_University_District,ATM
TXN_0098689A,CUST_0002_ACC_1,2025-06-01,Debit_Purchase,137.57,Restaurant,"Larson, Cobb and Thompson",Branch_University_District,Online
TXN_CDBA21AA,CUST_0002_ACC_1,2025-04-25,Wire_Transfer,4695.34,Rent payment,,,Mobile
TXN_B39F7ADF,CUST_0002_ACC_1,2025-05-18,ACH_Debit,1739.32,Auto loan payment,,,Electronic
TXN_BD785E65,CUST_0002_ACC_1,2025-07-20,ACH_Credit,4971.06,Mortgage payment,Mack LLC,,Online
TXN_0A835EBE,CUST_0002_ACC_1,2025-04-10,ATM_Withdrawal,418.46,Rent payment,,,Electronic
TXN_6F4A3AD8,CUST_0002_ACC_1,2025-04-12,Debit_Purchase,3953.81,Auto loan payment,Chang PLC,,Online
TXN_00A3C283,CUST_0003_ACC_1,2025-02-14,Online_Transfer,2505.59,Gas station,Taylor-Neal,,ATM
TXN_2B784A2F,CUST_0003_ACC_1,2025-03-24,Direct_Deposit,3324.84,Education payment,,,Branch
TXN_5762CAC5,CUST_0003_ACC_1,2025-05-08,Wire_Transfer,2389.53,Utility bill,"Clark, Clark and Brown",,Mobile
TXN_97EB3D8E,CUST_0003_ACC_1,2025-05-16,Wire_Transfer,527.18,Medical payment,"Rice, Miller and Ramsey",Branch_Suburban_Center,Online
TXN_D20F3569,CUST_0003_ACC_1,2025-05-22,Online_Transfer,4415.59,Rent payment,,,Electronic
TXN_746A3167,CUST_0003_ACC_1,2025-06-24,ACH_Debit,55.31,Bill payment,,,Electronic
TXN_444D3D82,CUST_0003_ACC_1,2025-06-10,Debit_Purchase,2020.48,Utility bill,,,Electronic
TXN_42E3FFFA,CUST_0003_ACC_1,2025-04-20,Wire_Transfer,2825.26,ATM withdrawal,,,Electronic
TXN_12C5C8D7,CUST_0003_ACC_1,2025-07-05,ACH_Credit,4770.91,Gas station,Fox-Carney,,Electronic
TXN_BC8F2506,CUST_0003_ACC_1,2025-04-07,Online_Transfer,1717.71,Grocery purchase,,,Branch
TXN_38337CC3,CUST_0003_ACC_1,2025-02-26,Wire_Transfer,3226.88,Restaurant,,,Electronic
TXN_E41EB144,CUST_0003_ACC_1,2025-05-15,Wire_Transfer,2001.24,Bill payment,,,Mobile
TXN_1F6EDBFE,CUST_0003_ACC_1,2025-05-07,ATM_Withdrawal,159.87,Insurance payment,,,ATM
TXN_2952C8C2,CUST_0003_ACC_1,2025-05-27,ACH_Credit,2977.22,Medical payment,Morton-Stephenson,,Online
TXN_A7090B02,CUST_0003_ACC_1,2025-03-16,ACH_Credit,4328.05,ATM withdrawal,,,ATM
TXN_7200F60E,CUST_0003_ACC_1,2025-03-27,Check_Deposit,3589.96,Utility bill,,,Mobile
TXN_387F5E39,CUST_0003_ACC_1,2025-03-09,ACH_Debit,3906.71,Rent payment,,,Mobile
TXN_81FC1DD3,CUST_0003_ACC_1,2025-02-24,Online_Transfer,1398.11,Investment transfer,,,Mobile
TXN_091F898B,CUST_0003_ACC_1,2025-04-27,ACH_Credit,983.21,Credit card payment,Mclaughlin and Sons,,Electronic
TXN_0513B01E,CUST_0003_ACC_1,2025-06-26,Direct_Deposit,1637.78,Mortgage payment,Gutierrez-Cook,Branch_Southpark_Ave,Online
TXN_7FFF360D,CUST_0003_ACC_1,2025-05-14,Wire_Transfer,2931.22,Investment transfer,"Lewis, Davidson and Vaughn",Branch_Downtown_Main,Branch
TXN_9B3AEFEE,CUST_0003_ACC_1,2025-03-20,Debit_Purchase,4398.32,Medical payment,,,Electronic
TXN_BB9AEF2C,CUST_0003_ACC_1,2025-02-15,Wire_Transfer,1392.58,Mortgage payment,Hunter-Nguyen,Branch_Southpark_Ave,Mobile
TXN_01D90546,CUST_0003_ACC_1,2025-02-04,Wire_Transfer,319.12,Salary deposit,,,Online
TXN_8911917F,CUST_0003_ACC_1,2025-06-06,Check_Deposit,2608.83,Insurance payment,,,Electronic
TXN_FD275067,CUST_0003_ACC_1,2025-04-05,Check_Deposit,391.3,ATM withdrawal,,Branch_University_District,ATM
TXN_F4FB2791,CUST_0003_ACC_1,2025-06-13,Wire_Transfer,1801.85,Grocery purchase,,,Online
TXN_CAFA7DD0,CUST_0003_ACC_1,2025-05-24,Check_Deposit,4263.66,Bill payment,Collier and Sons,,Electronic
TXN_4D58FEFE,CUST_0003_ACC_1,2025-04-03,ACH_Credit,2137.47,Medical payment,Nielsen-Mendoza,,ATM
TXN_0124A890,CUST_0003_ACC_1,2025-04-29,ATM_Withdrawal,2969.29,Utility bill,,,ATM
TXN_96ABFEB5,CUST_0003_ACC_1,2025-02-09,ACH_Debit,1730.6,ATM withdrawal,,,Electronic
TXN_10EBD1D9,CUST_0003_ACC_1,2025-02-27,ATM_Withdrawal,633.31,Salary deposit,,,Branch
TXN_09813459,CUST_0003_ACC_1,2025-03-02,ATM_Withdrawal,4713.96,ATM withdrawal,,,Branch
TXN_E784C9B3,CUST_0003_ACC_1,2025-04-26,Online_Transfer,2811.34,Rent payment,,,Electronic
TXN_EB0BE5BF,CUST_0006_ACC_1,2025-07-08,ACH_Credit,80.94,ATM withdrawal,,,Mobile
TXN_36E78633,CUST_0006_ACC_1,2025-07-14,ATM_Withdrawal,4362.69,ATM withdrawal,,,Electronic
TXN_DCAB958C,CUST_0006_ACC_1,2025-04-27,ACH_Credit,109.43,Utility bill,,,Online
TXN_B126C1CB,CUST_0006_ACC_1,2025-06-29,Online_Transfer,1787.05,Grocery purchase,"Brown, Meyer and Cunningham",,Mobile
TXN_1784283C,CUST_0006_ACC_1,2025-06-05,ACH_Credit,2920.55,ATM withdrawal,,Branch_Eastside_Center,Mobile
TXN_3F9C0FF6,CUST_0006_ACC_1,2025-05-13,Online_Transfer,3030.84,Grocery purchase,,,ATM
TXN_BF679DE3,CUST_0006_ACC_1,2025-02-06,ATM_Withdrawal,2269.24,Mortgage payment,"Jennings, Marsh and Barron",,ATM
TXN_41CAC448,CUST_0006_ACC_1,2025-04-07,Wire_Transfer,1275.82,Rent payment,,,Electronic
TXN_F1CA1C55,CUST_0006_ACC_1,2025-07-27,Check_Deposit,727.61,Investment transfer,Pittman-Morgan,Branch_Northgate_Mall,Online
TXN_1456603D,CUST_0006_ACC_1,2025-04-11,ACH_Debit,2903.21,Salary deposit,"Kirby, Duncan and Price",,Mobile
TXN_7D3C815E,CUST_0006_ACC_1,2025-05-21,Wire_Transfer,4715.34,Investment transfer,,Branch_University_District,Branch
TXN_47673BFA,CUST_0006_ACC_1,2025-07-08,Debit_Purchase,4342.86,Restaurant,Thornton-Edwards,Branch_Suburban_Center,Electronic
TXN_C6FC522A,CUST_0006_ACC_1,2025-02-08,Direct_Deposit,33.72,Credit card payment,Miller-Wiley,,Electronic
TXN_804B8298,CUST_0006_ACC_1,2025-04-10,ATM_Withdrawal,1021.44,Medical payment,,Branch_University_District,Electronic
TXN_2D459BC4,CUST_0006_ACC_1,2025-07-02,Debit_Purchase,285.77,Education payment,,,Online
TXN_63D7F1F5,CUST_0006_ACC_1,2025-03-29,Wire_Transfer,710.89,Mortgage payment,,,Online
TXN_EF8586E6,CUST_0006_ACC_1,2025-05-08,Online_Transfer,995.19,Mortgage payment,,Branch_Northgate_Mall,Mobile
TXN_8E8B02D0,CUST_0006_ACC_1,2025-03-06,ACH_Credit,2609.59,Insurance payment,,Branch_Suburban_Center,ATM
TXN_D1871E58,CUST_0006_ACC_1,2025-04-11,Direct_Deposit,2613.28,Credit card payment,Strickland Inc,,Electronic
TXN_E4A98FFE,CUST_0006_ACC_1,2025-04-23,Debit_Purchase,1416.04,Insurance payment,,,Electronic
TXN_9DCCD5E6,CUST_0006_ACC_1,2025-02-07,Wire_Transfer,679.0,Grocery purchase,Stein-Moore,,Mobile
TXN_4C344FA7,CUST_0006_ACC_1,2025-04-05,Debit_Purchase,762.01,Rent payment,,,ATM
TXN_7E2542CF,CUST_0006_ACC_1,2025-05-01,Wire_Transfer,4022.86,Rent payment,,,Electronic
TXN_1D764332,CUST_0006_ACC_1,2025-07-10,ACH_Debit,4228.65,Gas station,,,Online
TXN_6130EAFA,CUST_0006_ACC_1,2025-03-30,Debit_Purchase,4684.01,Salary deposit,,,Branch
TXN_23AB8D35,CUST_0006_ACC_1,2025-04-02,Direct_Deposit,4053.93,Restaurant,,,Electronic
TXN_BAA25852,CUST_0006_ACC_1,2025-06-21,Online_Transfer,1187.88,Medical payment,,,Electronic
TXN_98D30FF5,CUST_0006_ACC_1,2025-02-20,Direct_Deposit,3291.65,Utility bill,,,Electronic
TXN_F345B449,CUST_0006_ACC_1,2025-07-29,ACH_Debit,3746.06,Education payment,,Branch_Airport_Terminal,Online
TXN_57814DB3,CUST_0006_ACC_1,2025-05-06,Check_Deposit,1806.8,Grocery purchase,,,Online
TXN_1378600A,CUST_0006_ACC_1,2025-07-31,Online_Transfer,267.37,Restaurant,,,Online
TXN_DAF28E20,CUST_0006_ACC_1,2025-03-11,ATM_Withdrawal,2964.16,Restaurant,Stevens Ltd,,Branch
TXN_0621FE83,CUST_0006_ACC_1,2025-07-08,Debit_Purchase,75.49,Credit card payment,,Branch_Westside_Plaza,Mobile
TXN_A3F49A05,CUST_0006_ACC_1,2025-02-23,ACH_Debit,4733.55,Grocery purchase,Randolph-Mcdaniel,,Branch
TXN_23BB9C3D,CUST_0006_ACC_1,2025-05-20,Debit_Purchase,2285.87,Insurance payment,,,Branch
TXN_9509969B,CUST_0006_ACC_1,2025-02-18,Check_Deposit,2766.99,Mortgage payment,,,ATM
TXN_A29426F1,CUST_0007_ACC_1,2025-04-28,ATM_Withdrawal,3856.33,Auto loan payment,,Branch_Eastside_Center,Online
TXN_EC454959,CUST_0007_ACC_1,2025-02-11,Check_Deposit,3582.45,Gas station,,,Online
TXN_F3169DD1,CUST_0007_ACC_1,2025-05-07,Debit_Purchase,2086.75,Rent payment,,,Branch
TXN_E187216C,CUST_0007_ACC_1,2025-06-01,Direct_Deposit,2034.09,Mortgage payment,,,ATM
TXN_ACE889AC,CUST_0007_ACC_1,2025-03-31,ACH_Debit,2751.18,Bill payment,,Branch_Westside_Plaza,Mobile
TXN_C0D99B62,CUST_0007_ACC_1,2025-05-17,ATM_Withdrawal,474.93,Restaurant,,Branch_Westside_Plaza,ATM
TXN_A904CEEB,CUST_0007_ACC_1,2025-03-31,ACH_Debit,3877.31,Utility bill,,,Online
TXN_515D68F3,CUST_0007_ACC_1,2025-07-13,ACH_Credit,2776.25,Utility bill,,,Online
TXN_2FB9CF19,CUST_0007_ACC_1,2025-04-01,Online_Transfer,2747.87,Credit card payment,Mitchell PLC,,Branch
TXN_EAA9197A,CUST_0007_ACC_1,2025-04-01,ATM_Withdrawal,4955.64,Mortgage payment,,,Branch
TXN_E35E0737,CUST_0007_ACC_1,2025-04-23,Check_Deposit,598.31,Auto loan payment,,,Online
TXN_81EBD6D4,CUST_0007_ACC_1,2025-02-24,ATM_Withdrawal,1671.67,ATM withdrawal,,Branch_Eastside_Center,Branch
TXN_856B07CC,CUST_0007_ACC_1,2025-03-01,ACH_Credit,552.44,Credit card payment,Wilson-Mullen,,Mobile
TXN_58268F41,CUST_0007_ACC_1,2025-05-14,Direct_Deposit,2039.44,Mortgage payment,,,ATM
TXN_BF31CA8A,CUST_0007_ACC_1,2025-02-21,Debit_Purchase,3199.43,Utility bill,,Branch_Southpark_Ave,Branch
TXN_C99217B3,CUST_0007_ACC_1,2025-05-11,Online_Transfer,3431.14,Investment transfer,,,Branch
TXN_17629662,CUST_0007_ACC_1,2025-05-12,Direct_Deposit,1692.72,Insurance payment,Thomas-Bush,,Online
TXN_6C051B34,CUST_0007_ACC_1,2025-03-25,ACH_Credit,2864.65,Grocery purchase,,Branch_University_District,Electronic
TXN_F6E24EE1,CUST_0007_ACC_1,2025-03-19,Wire_Transfer,3668.2,ATM withdrawal,,Branch_Suburban_Center,Branch
TXN_11D545A5,CUST_0007_ACC_1,2025-02-15,Online_Transfer,2420.47,Online purchase,,,Online
TXN_4394945D,CUST_0007_ACC_1,2025-05-24,ACH_Debit,1375.34,Utility bill,,,Mobile
TXN_C1997BF9,CUST_0007_ACC_1,2025-04-04,Debit_Purchase,3281.02,Rent payment,,Branch_Westside_Plaza,Mobile
